latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
6.2214413,-75.47659,1493.0,-18000,America/Bogota,GMT-5

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm)
2016-09-08,26.6,14.7,4.10
2016-09-09,26.6,13.5,11.90
2016-09-10,24.9,14.5,4.30
2016-09-11,24.9,15.4,14.20
2016-09-12,24.0,15.4,5.00
2016-09-13,23.9,15.0,9.30
2016-09-14,23.4,14.6,12.20
2016-09-15,24.8,14.4,10.90
2016-09-16,26.1,14.1,0.10
2016-09-17,27.9,14.1,1.80
2016-09-18,24.9,15.1,2.20
2016-09-19,26.2,15.3,7.60
2016-09-20,25.7,14.2,1.00
2016-09-21,22.8,15.3,12.70
2016-09-22,24.0,13.1,4.60
2016-09-23,26.3,13.3,0.20
2016-09-24,26.0,15.3,3.90
2016-09-25,24.8,15.4,6.20
2016-09-26,25.6,14.5,1.20
2016-09-27,25.1,14.5,0.60
2016-09-28,26.5,15.2,3.30
2016-09-29,26.0,15.1,3.40
2016-09-30,25.1,16.2,4.30
2016-10-01,21.3,15.9,18.80
2016-10-02,22.1,15.5,10.80
2016-10-03,23.8,15.2,0.00
2016-10-04,24.8,16.5,1.00
2016-10-05,25.0,16.7,2.60
2016-10-06,24.7,15.7,14.10
2016-10-07,21.1,15.8,20.90
2016-10-08,22.7,15.6,10.50
2016-10-09,24.6,14.8,9.30
2016-10-10,23.7,16.8,10.90
2016-10-11,23.1,14.8,12.10
2016-10-12,20.9,16.7,32.30
2016-10-13,24.9,16.0,9.20
2016-10-14,25.0,14.8,1.70
2016-10-15,26.4,16.1,4.60
2016-10-16,23.0,14.8,6.90
2016-10-17,24.8,14.8,8.30
2016-10-18,24.1,17.2,15.20
2016-10-19,24.5,16.7,5.10
2016-10-20,25.1,14.6,6.30
2016-10-21,25.8,15.3,0.90
2016-10-22,24.9,15.6,9.70
2016-10-23,25.4,15.9,3.10
2016-10-24,24.7,16.5,6.30
2016-10-25,22.1,15.0,10.00
2016-10-26,22.6,16.6,10.90
2016-10-27,23.8,15.9,5.00
2016-10-28,23.7,16.0,5.50
2016-10-29,21.6,16.2,10.10
2016-10-30,25.0,14.8,1.20
2016-10-31,23.0,15.6,16.80
2016-11-01,20.6,16.5,20.40
2016-11-02,22.0,16.5,7.00
2016-11-03,24.1,14.1,0.50
2016-11-04,25.1,15.7,4.20
2016-11-05,24.5,15.5,6.60
2016-11-06,23.9,16.2,16.40
2016-11-07,24.0,15.2,3.40
2016-11-08,23.1,14.7,3.80
2016-11-09,24.1,14.6,2.50
2016-11-10,24.9,16.3,6.20
2016-11-11,20.5,15.6,5.90
2016-11-12,23.7,14.7,2.70
2016-11-13,24.5,14.1,9.60
2016-11-14,24.4,15.4,11.50
2016-11-15,22.4,16.2,15.50
2016-11-16,23.2,15.7,3.10
2016-11-17,23.6,15.1,10.00
2016-11-18,23.9,14.6,7.60
2016-11-19,19.0,16.5,54.00
2016-11-20,23.1,15.8,10.50
2016-11-21,24.1,14.3,0.00
2016-11-22,25.2,14.0,0.00
2016-11-23,25.2,15.8,0.50
2016-11-24,24.3,17.2,4.30
2016-11-25,23.3,16.9,3.90
2016-11-26,23.2,16.9,8.10
2016-11-27,22.7,16.8,6.60
